State,year,commodity,units,Exports
New York,2003,Dairy,Million dollars,73.695
North Carolina,2003,Dairy,Million dollars,6.7719
North Dakota,2003,Dairy,Million dollars,2.8191
Ohio,2003,Dairy,Million dollars,27.6086
Oklahoma,2003,Dairy,Million dollars,8.403
Oregon,2003,Dairy,Million dollars,12.8117
Pennsylvania,2003,Dairy,Million dollars,67.9879
Rhode Island,2003,Dairy,Million dollars,0.1397
South Carolina,2003,Dairy,Million dollars,2.0244
South Dakota,2003,Dairy,Million dollars,8.3519
Tennessee,2003,Dairy,Million dollars,7.5417
Texas,2003,Dairy,Million dollars,34.4684
Utah,2003,Dairy,Million dollars,9.1941
Vermont,2003,Dairy,Million dollars,16.0947
Virginia,2003,Dairy,Million dollars,11.5614
Washington,2003,Dairy,Million dollars,31.7448
West Virginia,2003,Dairy,Million dollars,1.2883
Wisconsin,2003,Dairy,Million dollars,134.1187
Wyoming,2003,Dairy,Million dollars,0.2994
Alabama,2004,Dairy,Million dollars,2.3087
Alaska,2004,Dairy,Million dollars,0.1498
Arizona,2004,Dairy,Million dollars,30.2759
Arkansas,2004,Dairy,Million dollars,2.7253
California,2004,Dairy,Million dollars,284.8173
Colorado,2004,Dairy,Million dollars,18.2207
Connecticut,2004,Dairy,Million dollars,3.5628
Delaware,2004,Dairy,Million dollars,1.118
Florida,2004,Dairy,Million dollars,22.9094
Georgia,2004,Dairy,Million dollars,12.5018
Hawaii,2004,Dairy,Million dollars,1.0709
Idaho,2004,Dairy,Million dollars,72.1015
Illinois,2004,Dairy,Million dollars,16.3916
Indiana,2004,Dairy,Million dollars,26.6188
Iowa,2004,Dairy,Million dollars,33.0843
Kansas,2004,Dairy,Million dollars,18.0238
Kentucky,2004,Dairy,Million dollars,12.5604
Louisiana,2004,Dairy,Million dollars,4.0987
Maine,2004,Dairy,Million dollars,5.7993
Maryland,2004,Dairy,Million dollars,9.9978
Massachusetts,2004,Dairy,Million dollars,2.706
Michigan,2004,Dairy,Million dollars,54.5493
Minnesota,2004,Dairy,Million dollars,70.9302
Mississippi,2004,Dairy,Million dollars,3.3618
Missouri,2004,Dairy,Million dollars,15.8602
Montana,2004,Dairy,Million dollars,2.8484
Nebraska,2004,Dairy,Million dollars,8.9254
Nevada,2004,Dairy,Million dollars,3.9781
New Hampshire,2004,Dairy,Million dollars,2.7548
New Jersey,2004,Dairy,Million dollars,1.7149
New Mexico,2004,Dairy,Million dollars,53.3065
New York,2004,Dairy,Million dollars,103.5102
North Carolina,2004,Dairy,Million dollars,9.0655
North Dakota,2004,Dairy,Million dollars,3.9279
Ohio,2004,Dairy,Million dollars,39.9138
Oklahoma,2004,Dairy,Million dollars,11.6109
Oregon,2004,Dairy,Million dollars,19.0827
Pennsylvania,2004,Dairy,Million dollars,93.4083
Rhode Island,2004,Dairy,Million dollars,0.1843
South Carolina,2004,Dairy,Million dollars,2.6229
South Dakota,2004,Dairy,Million dollars,11.7006
Tennessee,2004,Dairy,Million dollars,10.2636
Texas,2004,Dairy,Million dollars,51.7894
Utah,2004,Dairy,Million dollars,13.3499
Vermont,2004,Dairy,Million dollars,23.1163
Virginia,2004,Dairy,Million dollars,16.3702
Washington,2004,Dairy,Million dollars,45.4886
West Virginia,2004,Dairy,Million dollars,1.6728
Wisconsin,2004,Dairy,Million dollars,195.7122
Wyoming,2004,Dairy,Million dollars,0.5217
Alabama,2005,Dairy,Million dollars,2.2752
Alaska,2005,Dairy,Million dollars,0.1552
Arizona,2005,Dairy,Million dollars,33.543
Arkansas,2005,Dairy,Million dollars,2.6961
California,2005,Dairy,Million dollars,315.3175
Colorado,2005,Dairy,Million dollars,20.8508
Connecticut,2005,Dairy,Million dollars,3.7952
Delaware,2005,Dairy,Million dollars,1.1922
Florida,2005,Dairy,Million dollars,25.4558
Georgia,2005,Dairy,Million dollars,13.3877
Hawaii,2005,Dairy,Million dollars,1.11
Idaho,2005,Dairy,Million dollars,85.6086
Illinois,2005,Dairy,Million dollars,17.8754
Indiana,2005,Dairy,Million dollars,30.3397
Iowa,2005,Dairy,Million dollars,36.9466
Kansas,2005,Dairy,Million dollars,19.8271
Kentucky,2005,Dairy,Million dollars,13.1052
Louisiana,2005,Dairy,Million dollars,4.0187
Maine,2005,Dairy,Million dollars,5.9839
Maryland,2005,Dairy,Million dollars,11.1003
Massachusetts,2005,Dairy,Million dollars,2.8588
Michigan,2005,Dairy,Million dollars,62.5224
Minnesota,2005,Dairy,Million dollars,75.2594
Mississippi,2005,Dairy,Million dollars,3.6476
Missouri,2005,Dairy,Million dollars,17.3112
Montana,2005,Dairy,Million dollars,3.3991
Nebraska,2005,Dairy,Million dollars,9.9106
Nevada,2005,Dairy,Million dollars,4.692
New Hampshire,2005,Dairy,Million dollars,2.9423
New Jersey,2005,Dairy,Million dollars,1.7685
New Mexico,2005,Dairy,Million dollars,59.2479
New York,2005,Dairy,Million dollars,115.532
North Carolina,2005,Dairy,Million dollars,9.8908
North Dakota,2005,Dairy,Million dollars,4.1384
Ohio,2005,Dairy,Million dollars,44.9549
Oklahoma,2005,Dairy,Million dollars,12.0446
Oregon,2005,Dairy,Million dollars,21.4585
Pennsylvania,2005,Dairy,Million dollars,106.4842
Rhode Island,2005,Dairy,Million dollars,0.1887
South Carolina,2005,Dairy,Million dollars,2.8561
South Dakota,2005,Dairy,Million dollars,13.1899
Tennessee,2005,Dairy,Million dollars,10.6058
Texas,2005,Dairy,Million dollars,59.29
Utah,2005,Dairy,Million dollars,14.7156
Vermont,2005,Dairy,Million dollars,25.3458
Virginia,2005,Dairy,Million dollars,17.6909
Washington,2005,Dairy,Million dollars,50.238
West Virginia,2005,Dairy,Million dollars,1.7988
Wisconsin,2005,Dairy,Million dollars,212.9732
Wyoming,2005,Dairy,Million dollars,0.6388
Alabama,2006,Dairy,Million dollars,2.4513
Alaska,2006,Dairy,Million dollars,0.1473
Arizona,2006,Dairy,Million dollars,39.7509
Arkansas,2006,Dairy,Million dollars,2.6989
California,2006,Dairy,Million dollars,353.9909
Colorado,2006,Dairy,Million dollars,25.7537
Connecticut,2006,Dairy,Million dollars,4.1191
Delaware,2006,Dairy,Million dollars,1.1932
Florida,2006,Dairy,Million dollars,27.126
Georgia,2006,Dairy,Million dollars,15.8408
Hawaii,2006,Dairy,Million dollars,1.1432
Idaho,2006,Dairy,Million dollars,101.0931
Illinois,2006,Dairy,Million dollars,21.9107
Indiana,2006,Dairy,Million dollars,34.0826
Iowa,2006,Dairy,Million dollars,42.0725
Kansas,2006,Dairy,Million dollars,23.358
Kentucky,2006,Dairy,Million dollars,14.1321
Louisiana,2006,Dairy,Million dollars,4.3801
Maine,2006,Dairy,Million dollars,6.6027
Maryland,2006,Dairy,Million dollars,11.9402
Massachusetts,2006,Dairy,Million dollars,3.1319
Michigan,2006,Dairy,Million dollars,74.3067
Minnesota,2006,Dairy,Million dollars,84.6572
Mississippi,2006,Dairy,Million dollars,3.9077
Missouri,2006,Dairy,Million dollars,19.0221
Montana,2006,Dairy,Million dollars,3.5924
Nebraska,2006,Dairy,Million dollars,11.6891
Nevada,2006,Dairy,Million dollars,5.2993
New Hampshire,2006,Dairy,Million dollars,3.2338
New Jersey,2006,Dairy,Million dollars,1.8479
New Mexico,2006,Dairy,Million dollars,71.6451
New York,2006,Dairy,Million dollars,126.8488
North Carolina,2006,Dairy,Million dollars,10.9429
North Dakota,2006,Dairy,Million dollars,4.5212
Ohio,2006,Dairy,Million dollars,52.5238
Oklahoma,2006,Dairy,Million dollars,14.03
Oregon,2006,Dairy,Million dollars,25.7158
Pennsylvania,2006,Dairy,Million dollars,122.9759
Rhode Island,2006,Dairy,Million dollars,0.2181
South Carolina,2006,Dairy,Million dollars,3.3251
South Dakota,2006,Dairy,Million dollars,15.4534
Tennessee,2006,Dairy,Million dollars,11.6932
Texas,2006,Dairy,Million dollars,74.7469
Utah,2006,Dairy,Million dollars,17.3333
Vermont,2006,Dairy,Million dollars,27.8097
Virginia,2006,Dairy,Million dollars,20.9778
Washington,2006,Dairy,Million dollars,54.0727
West Virginia,2006,Dairy,Million dollars,2.0802
Wisconsin,2006,Dairy,Million dollars,242.3615
Wyoming,2006,Dairy,Million dollars,1.1751
Alabama,2007,Dairy,Million dollars,3.5367
Alaska,2007,Dairy,Million dollars,0.1538
Arizona,2007,Dairy,Million dollars,67.5929
Arkansas,2007,Dairy,Million dollars,3.5367
California,2007,Dairy,Million dollars,618.6202
Colorado,2007,Dairy,Million dollars,43.4996
Connecticut,2007,Dairy,Million dollars,6.3795
Delaware,2007,Dairy,Million dollars,1.851
Florida,2007,Dairy,Million dollars,38.7232
Georgia,2007,Dairy,Million dollars,23.7411
Hawaii,2007,Dairy,Million dollars,0.8156
Idaho,2007,Dairy,Million dollars,172.8726
Illinois,2007,Dairy,Million dollars,31.6439
Indiana,2007,Dairy,Million dollars,55.5803
Iowa,2007,Dairy,Million dollars,68.5754
Kansas,2007,Dairy,Million dollars,35.4116
Kentucky,2007,Dairy,Million dollars,20.916
Louisiana,2007,Dairy,Million dollars,5.7911
Maine,2007,Dairy,Million dollars,10.7472
Maryland,2007,Dairy,Million dollars,17.606
Massachusetts,2007,Dairy,Million dollars,4.4799
Michigan,2007,Dairy,Million dollars,126.2435
Minnesota,2007,Dairy,Million dollars,142.678
Mississippi,2007,Dairy,Million dollars,5.5388
Missouri,2007,Dairy,Million dollars,27.0725
Montana,2007,Dairy,Million dollars,5.1561
Nebraska,2007,Dairy,Million dollars,16.8825
Nevada,2007,Dairy,Million dollars,8.3944
New Hampshire,2007,Dairy,Million dollars,5.0642
New Jersey,2007,Dairy,Million dollars,2.7269
New Mexico,2007,Dairy,Million dollars,114.151
New York,2007,Dairy,Million dollars,200.5112
North Carolina,2007,Dairy,Million dollars,15.96
North Dakota,2007,Dairy,Million dollars,6.7544
Ohio,2007,Dairy,Million dollars,83.0591
Oklahoma,2007,Dairy,Million dollars,19.9667
Oregon,2007,Dairy,Million dollars,34.1168
Pennsylvania,2007,Dairy,Million dollars,187.1191
Rhode Island,2007,Dairy,Million dollars,0.3202
South Carolina,2007,Dairy,Million dollars,5.6755
South Dakota,2007,Dairy,Million dollars,26.2996
Tennessee,2007,Dairy,Million dollars,17.0313
Texas,2007,Dairy,Million dollars,122.2402
Utah,2007,Dairy,Million dollars,27.3788
Vermont,2007,Dairy,Million dollars,43.6678
Virginia,2007,Dairy,Million dollars,31.3404
Washington,2007,Dairy,Million dollars,89.3168
West Virginia,2007,Dairy,Million dollars,3.2222
Wisconsin,2007,Dairy,Million dollars,387.3955
Wyoming,2007,Dairy,Million dollars,2.0622
Alabama,2008,Dairy,Million dollars,4.2774
Alaska,2008,Dairy,Million dollars,0.1499
Arizona,2008,Dairy,Million dollars,82.2372
Arkansas,2008,Dairy,Million dollars,3.944
California,2008,Dairy,Million dollars,745.8139
Colorado,2008,Dairy,Million dollars,57.515
Connecticut,2008,Dairy,Million dollars,7.8546
Delaware,2008,Dairy,Million dollars,2.1955
Florida,2008,Dairy,Million dollars,50.0249
Georgia,2008,Dairy,Million dollars,30.2335
Hawaii,2008,Dairy,Million dollars,0.5881
Idaho,2008,Dairy,Million dollars,226.2569
Illinois,2008,Dairy,Million dollars,39.0776
Indiana,2008,Dairy,Million dollars,68.8662
Iowa,2008,Dairy,Million dollars,83.9715
Kansas,2008,Dairy,Million dollars,48.9398
Kentucky,2008,Dairy,Million dollars,25.5925
Louisiana,2008,Dairy,Million dollars,6.9342
Maine,2008,Dairy,Million dollars,13.3333
Maryland,2008,Dairy,Million dollars,20.9156
Massachusetts,2008,Dairy,Million dollars,5.483
Michigan,2008,Dairy,Million dollars,160.0279
Minnesota,2008,Dairy,Million dollars,178.6154
Mississippi,2008,Dairy,Million dollars,6.4748
Missouri,2008,Dairy,Million dollars,32.4094
Montana,2008,Dairy,Million dollars,6.2419
Nebraska,2008,Dairy,Million dollars,21.8641
Nevada,2008,Dairy,Million dollars,11.7776
New Hampshire,2008,Dairy,Million dollars,6.3447
New Jersey,2008,Dairy,Million dollars,3.3278
New Mexico,2008,Dairy,Million dollars,146.839
New York,2008,Dairy,Million dollars,256.4418
North Carolina,2008,Dairy,Million dollars,20.4255
North Dakota,2008,Dairy,Million dollars,8.1102
Ohio,2008,Dairy,Million dollars,108.3248
Oklahoma,2008,Dairy,Million dollars,22.8458
Oregon,2008,Dairy,Million dollars,44.0352
Pennsylvania,2008,Dairy,Million dollars,226.4331
Rhode Island,2008,Dairy,Million dollars,0.4287
South Carolina,2008,Dairy,Million dollars,7.4106
South Dakota,2008,Dairy,Million dollars,36.7847
Tennessee,2008,Dairy,Million dollars,20.5395
Texas,2008,Dairy,Million dollars,168.9731
Utah,2008,Dairy,Million dollars,34.5273
Vermont,2008,Dairy,Million dollars,53.728
Virginia,2008,Dairy,Million dollars,39.9708
Washington,2008,Dairy,Million dollars,107.7159
West Virginia,2008,Dairy,Million dollars,3.6247
Wisconsin,2008,Dairy,Million dollars,492.4109
Wyoming,2008,Dairy,Million dollars,2.5152
Alabama,2009,Dairy,Million dollars,2.3706
Alaska,2009,Dairy,Million dollars,0.1257
Arizona,2009,Dairy,Million dollars,45.9002
Arkansas,2009,Dairy,Million dollars,2.0363
California,2009,Dairy,Million dollars,422.9869
Colorado,2009,Dairy,Million dollars,33.4603
Connecticut,2009,Dairy,Million dollars,4.666
Delaware,2009,Dairy,Million dollars,1.3371
Florida,2009,Dairy,Million dollars,32.6766
Georgia,2009,Dairy,Million dollars,18.8923
Hawaii,2009,Dairy,Million dollars,0.6984
Idaho,2009,Dairy,Million dollars,133.3625
Illinois,2009,Dairy,Million dollars,22.9385
Indiana,2009,Dairy,Million dollars,41.9495
Iowa,2009,Dairy,Million dollars,52.6818
Kansas,2009,Dairy,Million dollars,32.3293
Kentucky,2009,Dairy,Million dollars,15.4454
Louisiana,2009,Dairy,Million dollars,3.5081
Maine,2009,Dairy,Million dollars,8.1682
Maryland,2009,Dairy,Million dollars,13.4774
Massachusetts,2009,Dairy,Million dollars,3.2529
Michigan,2009,Dairy,Million dollars,99.1898
Minnesota,2009,Dairy,Million dollars,111.3574
Mississippi,2009,Dairy,Million dollars,3.3062
Missouri,2009,Dairy,Million dollars,18.7246
Montana,2009,Dairy,Million dollars,3.9881
Nebraska,2009,Dairy,Million dollars,14.866
Nevada,2009,Dairy,Million dollars,6.4511
New Hampshire,2009,Dairy,Million dollars,3.785
New Jersey,2009,Dairy,Million dollars,1.8616
New Mexico,2009,Dairy,Million dollars,88.5855
New York,2009,Dairy,Million dollars,157.1166
North Carolina,2009,Dairy,Million dollars,12.3992
North Dakota,2009,Dairy,Million dollars,4.5691
Ohio,2009,Dairy,Million dollars,67.8545
Oklahoma,2009,Dairy,Million dollars,13.5023
Oregon,2009,Dairy,Million dollars,28.4435
Pennsylvania,2009,Dairy,Million dollars,140.7579
Rhode Island,2009,Dairy,Million dollars,0.2581
South Carolina,2009,Dairy,Million dollars,4.773
South Dakota,2009,Dairy,Million dollars,24.2254
Tennessee,2009,Dairy,Million dollars,11.8962
Texas,2009,Dairy,Million dollars,109.2865
Utah,2009,Dairy,Million dollars,19.995
Vermont,2009,Dairy,Million dollars,31.5329
Virginia,2009,Dairy,Million dollars,24.6477
Washington,2009,Dairy,Million dollars,63.5726
West Virginia,2009,Dairy,Million dollars,1.9242
Wisconsin,2009,Dairy,Million dollars,304.9154
Wyoming,2009,Dairy,Million dollars,1.3277
Alabama,2010,Dairy,Million dollars,3.5644
Alaska,2010,Dairy,Million dollars,0.1899
Arizona,2010,Dairy,Million dollars,77.5899
Arkansas,2010,Dairy,Million dollars,3.045
California,2010,Dairy,Million dollars,699.0958
Colorado,2010,Dairy,Million dollars,53.8625
Connecticut,2010,Dairy,Million dollars,7.663
Delaware,2010,Dairy,Million dollars,1.9312
Florida,2010,Dairy,Million dollars,51.9225
Georgia,2010,Dairy,Million dollars,30.0311
Hawaii,2010,Dairy,Million dollars,1.0319
Idaho,2010,Dairy,Million dollars,223.9637
Illinois,2010,Dairy,Million dollars,36.8629
Indiana,2010,Dairy,Million dollars,69.1613
Iowa,2010,Dairy,Million dollars,84.1954
Kansas,2010,Dairy,Million dollars,50.7183
Kentucky,2010,Dairy,Million dollars,24.0855
Louisiana,2010,Dairy,Million dollars,4.8822
Maine,2010,Dairy,Million dollars,12.7879
Maryland,2010,Dairy,Million dollars,21.5686
Massachusetts,2010,Dairy,Million dollars,5.0945
Michigan,2010,Dairy,Million dollars,166.5169
Minnesota,2010,Dairy,Million dollars,170.9159
Mississippi,2010,Dairy,Million dollars,4.7954
Missouri,2010,Dairy,Million dollars,27.8372
Montana,2010,Dairy,Million dollars,5.6601
Nebraska,2010,Dairy,Million dollars,23.6658
Nevada,2010,Dairy,Million dollars,13.1138
New Hampshire,2010,Dairy,Million dollars,6.1294
New Jersey,2010,Dairy,Million dollars,2.734
New Mexico,2010,Dairy,Million dollars,145.8936
New York,2010,Dairy,Million dollars,260.2078
North Carolina,2010,Dairy,Million dollars,19.551
North Dakota,2010,Dairy,Million dollars,7.0127
Ohio,2010,Dairy,Million dollars,109.994
Oklahoma,2010,Dairy,Million dollars,20.1657
Oregon,2010,Dairy,Million dollars,48.5353
Pennsylvania,2010,Dairy,Million dollars,230.5483
Rhode Island,2010,Dairy,Million dollars,0.4118
South Carolina,2010,Dairy,Million dollars,6.6414
South Dakota,2010,Dairy,Million dollars,36.5229
Tennessee,2010,Dairy,Million dollars,17.8583
Texas,2010,Dairy,Million dollars,177.5188
Utah,2010,Dairy,Million dollars,36.5657
Vermont,2010,Dairy,Million dollars,52.2667
Virginia,2010,Dairy,Million dollars,39.1444
Washington,2010,Dairy,Million dollars,111.7541
West Virginia,2010,Dairy,Million dollars,3.0891
Wisconsin,2010,Dairy,Million dollars,489.0715
Wyoming,2010,Dairy,Million dollars,2.3136
Alabama,2011,Dairy,Million dollars,4.0608
Alaska,2011,Dairy,Million dollars,0.1877
Arizona,2011,Dairy,Million dollars,105.5671
Arkansas,2011,Dairy,Million dollars,3.5367
California,2011,Dairy,Million dollars,930.7099
Colorado,2011,Dairy,Million dollars,72.0018
Connecticut,2011,Dairy,Million dollars,9.5003
Delaware,2011,Dairy,Million dollars,2.3029
Florida,2011,Dairy,Million dollars,66.3606
Georgia,2011,Dairy,Million dollars,38.4147
Hawaii,2011,Dairy,Million dollars,1.1569
Idaho,2011,Dairy,Million dollars,294.8433
Illinois,2011,Dairy,Million dollars,45.8548
Indiana,2011,Dairy,Million dollars,89.7756
Iowa,2011,Dairy,Million dollars,107.0884
Kansas,2011,Dairy,Million dollars,65.4996
Kentucky,2011,Dairy,Million dollars,28.2937
Louisiana,2011,Dairy,Million dollars,6.0239
Maine,2011,Dairy,Million dollars,16.195
Maryland,2011,Dairy,Million dollars,24.8293
Massachusetts,2011,Dairy,Million dollars,5.8115
Michigan,2011,Dairy,Million dollars,214.9984
Minnesota,2011,Dairy,Million dollars,218.2259
Mississippi,2011,Dairy,Million dollars,5.4584
Missouri,2011,Dairy,Million dollars,34.2886
Montana,2011,Dairy,Million dollars,6.8242
Nebraska,2011,Dairy,Million dollars,30.0946
Nevada,2011,Dairy,Million dollars,16.5799
New Hampshire,2011,Dairy,Million dollars,7.4677
New Jersey,2011,Dairy,Million dollars,3.3683
New Mexico,2011,Dairy,Million dollars,191.1656
New York,2011,Dairy,Million dollars,332.0763
North Carolina,2011,Dairy,Million dollars,24.9185
North Dakota,2011,Dairy,Million dollars,8.1429
Ohio,2011,Dairy,Million dollars,134.6821
Oklahoma,2011,Dairy,Million dollars,24.3657
Oregon,2011,Dairy,Million dollars,63.7132
Pennsylvania,2011,Dairy,Million dollars,281.1047
Rhode Island,2011,Dairy,Million dollars,0.5175
South Carolina,2011,Dairy,Million dollars,7.6253
South Dakota,2011,Dairy,Million dollars,46.805
Tennessee,2011,Dairy,Million dollars,21.1936
Texas,2011,Dairy,Million dollars,240.7511
Utah,2011,Dairy,Million dollars,48.6404
Vermont,2011,Dairy,Million dollars,66.0361
Virginia,2011,Dairy,Million dollars,47.8931
Washington,2011,Dairy,Million dollars,154.3112
West Virginia,2011,Dairy,Million dollars,3.9067
Wisconsin,2011,Dairy,Million dollars,634.1219
Wyoming,2011,Dairy,Million dollars,2.8881
Alabama,2012,Dairy,Million dollars,3.8497
Alaska,2012,Dairy,Million dollars,0.1791
Arizona,2012,Dairy,Million dollars,109.3018
Arkansas,2012,Dairy,Million dollars,3.3302
California,2012,Dairy,Million dollars,953.2744
Colorado,2012,Dairy,Million dollars,82.0021
Connecticut,2012,Dairy,Million dollars,9.6623
Delaware,2012,Dairy,Million dollars,2.4361
Florida,2012,Dairy,Million dollars,71.9102
Georgia,2012,Dairy,Million dollars,41.8459
Hawaii,2012,Dairy,Million dollars,1.3324
Idaho,2012,Dairy,Million dollars,334.5582
Illinois,2012,Dairy,Million dollars,49.7468
Indiana,2012,Dairy,Million dollars,98.3244
Iowa,2012,Dairy,Million dollars,119.424
Kansas,2012,Dairy,Million dollars,71.4015
Kentucky,2012,Dairy,Million dollars,30.3376
Louisiana,2012,Dairy,Million dollars,5.9033
Maine,2012,Dairy,Million dollars,17.1646
Maryland,2012,Dairy,Million dollars,25.9184
Massachusetts,2012,Dairy,Million dollars,5.9962
Michigan,2012,Dairy,Million dollars,234.0977
Minnesota,2012,Dairy,Million dollars,242.8492
Mississippi,2012,Dairy,Million dollars,5.498
Missouri,2012,Dairy,Million dollars,36.0263
Montana,2012,Dairy,Million dollars,7.2866
Nebraska,2012,Dairy,Million dollars,31.9268
Nevada,2012,Dairy,Million dollars,17.2342
New Hampshire,2012,Dairy,Million dollars,7.3927
New Jersey,2012,Dairy,Million dollars,3.3424
New Mexico,2012,Dairy,Million dollars,194.772
New York,2012,Dairy,Million dollars,352.6766
North Carolina,2012,Dairy,Million dollars,26.4537
North Dakota,2012,Dairy,Million dollars,8.8782
Ohio,2012,Dairy,Million dollars,142.9147
Oklahoma,2012,Dairy,Million dollars,23.6326
Oregon,2012,Dairy,Million dollars,68.1434
Pennsylvania,2012,Dairy,Million dollars,287.8996
Rhode Island,2012,Dairy,Million dollars,0.4952
South Carolina,2012,Dairy,Million dollars,7.8076
South Dakota,2012,Dairy,Million dollars,54.1591
Tennessee,2012,Dairy,Million dollars,21.6636
Texas,2012,Dairy,Million dollars,247.303
Utah,2012,Dairy,Million dollars,52.4989
Vermont,2012,Dairy,Million dollars,69.1611
Virginia,2012,Dairy,Million dollars,49.3997
Washington,2012,Dairy,Million dollars,159.7897
West Virginia,2012,Dairy,Million dollars,3.9901
Wisconsin,2012,Dairy,Million dollars,722.5072
Wyoming,2012,Dairy,Million dollars,3.1962
Alabama,2013,Dairy,Million dollars,4.5722
Alaska,2013,Dairy,Million dollars,0.1098
Arizona,2013,Dairy,Million dollars,145.1594
Arkansas,2013,Dairy,Million dollars,3.563
California,2013,Dairy,Million dollars,1266.8959
Colorado,2013,Dairy,Million dollars,111.0643
Connecticut,2013,Dairy,Million dollars,13.1838
Delaware,2013,Dairy,Million dollars,3.1606
Florida,2013,Dairy,Million dollars,94.4817
Georgia,2013,Dairy,Million dollars,56.0401
Hawaii,2013,Dairy,Million dollars,1.6762
Idaho,2013,Dairy,Million dollars,427.8844
Illinois,2013,Dairy,Million dollars,62.5871
Indiana,2013,Dairy,Million dollars,131.5558
Iowa,2013,Dairy,Million dollars,156.6265
Kansas,2013,Dairy,Million dollars,98.1304
Kentucky,2013,Dairy,Million dollars,37.9022
Louisiana,2013,Dairy,Million dollars,7.3573
Maine,2013,Dairy,Million dollars,22.3266
Maryland,2013,Dairy,Million dollars,33.5424
Massachusetts,2013,Dairy,Million dollars,8.2663
Michigan,2013,Dairy,Million dollars,311.4802
Minnesota,2013,Dairy,Million dollars,306.4662
Mississippi,2013,Dairy,Million dollars,6.7017
Missouri,2013,Dairy,Million dollars,45.2765
Montana,2013,Dairy,Million dollars,9.1123
Nebraska,2013,Dairy,Million dollars,40.4085
Nevada,2013,Dairy,Million dollars,21.3708
New Hampshire,2013,Dairy,Million dollars,9.6543
New Jersey,2013,Dairy,Million dollars,4.2825
New Mexico,2013,Dairy,Million dollars,250.4754
New York,2013,Dairy,Million dollars,473.3724
North Carolina,2013,Dairy,Million dollars,33.0636
North Dakota,2013,Dairy,Million dollars,11.054
Ohio,2013,Dairy,Million dollars,191.2388
Oklahoma,2013,Dairy,Million dollars,27.5685
Oregon,2013,Dairy,Million dollars,87.8627
Pennsylvania,2013,Dairy,Million dollars,376.7259
Rhode Island,2013,Dairy,Million dollars,0.6127
South Carolina,2013,Dairy,Million dollars,9.9836
South Dakota,2013,Dairy,Million dollars,70.4093
Tennessee,2013,Dairy,Million dollars,27.1752
Texas,2013,Dairy,Million dollars,325.2281
Utah,2013,Dairy,Million dollars,68.688
Vermont,2013,Dairy,Million dollars,91.7841
Virginia,2013,Dairy,Million dollars,66.0016
Washington,2013,Dairy,Million dollars,215.4723
West Virginia,2013,Dairy,Million dollars,5.0642
Wisconsin,2013,Dairy,Million dollars,921.6103
Wyoming,2013,Dairy,Million dollars,4.2354
Alabama,2014,Dairy,Million dollars,4.3084
Alaska,2014,Dairy,Million dollars,0.1038
Arizona,2014,Dairy,Million dollars,156.0056
Arkansas,2014,Dairy,Million dollars,3.4397
California,2014,Dairy,Million dollars,1342.8794
Colorado,2014,Dairy,Million dollars,122.9847
Connecticut,2014,Dairy,Million dollars,14.2323
Delaware,2014,Dairy,Million dollars,3.3097
Florida,2014,Dairy,Million dollars,101.2075
Georgia,2014,Dairy,Million dollars,63.4933
Hawaii,2014,Dairy,Million dollars,1.5088
Idaho,2014,Dairy,Million dollars,458.8395
Illinois,2014,Dairy,Million dollars,65.1467
Indiana,2014,Dairy,Million dollars,134.7739
Iowa,2014,Dairy,Million dollars,163.5135
Kansas,2014,Dairy,Million dollars,106.7291
Kentucky,2014,Dairy,Million dollars,36.7637
Louisiana,2014,Dairy,Million dollars,7.5194
Maine,2014,Dairy,Million dollars,22.9209
Maryland,2014,Dairy,Million dollars,34.8761
Massachusetts,2014,Dairy,Million dollars,8.6517
Michigan,2014,Dairy,Million dollars,331.4122
Minnesota,2014,Dairy,Million dollars,321.0735
Mississippi,2014,Dairy,Million dollars,7.1532
Missouri,2014,Dairy,Million dollars,48.0797
Montana,2014,Dairy,Million dollars,9.3447
Nebraska,2014,Dairy,Million dollars,42.6193
Nevada,2014,Dairy,Million dollars,24.3421
New Hampshire,2014,Dairy,Million dollars,10.4066
New Jersey,2014,Dairy,Million dollars,4.4664
New Mexico,2014,Dairy,Million dollars,258.0189
New York,2014,Dairy,Million dollars,499.021
North Carolina,2014,Dairy,Million dollars,35.2198
North Dakota,2014,Dairy,Million dollars,10.7693
Ohio,2014,Dairy,Million dollars,190.7304
Oklahoma,2014,Dairy,Million dollars,25.6448
Oregon,2014,Dairy,Million dollars,93.4154
Pennsylvania,2014,Dairy,Million dollars,391.5479
Rhode Island,2014,Dairy,Million dollars,0.6403
South Carolina,2014,Dairy,Million dollars,10.1464
South Dakota,2014,Dairy,Million dollars,74.5394
Tennessee,2014,Dairy,Million dollars,27.582
Texas,2014,Dairy,Million dollars,362.9632
Utah,2014,Dairy,Million dollars,73.7663
Vermont,2014,Dairy,Million dollars,97.0063
Virginia,2014,Dairy,Million dollars,68.6558
Washington,2014,Dairy,Million dollars,232.763
West Virginia,2014,Dairy,Million dollars,4.8319
Wisconsin,2014,Dairy,Million dollars,967.9168
Wyoming,2014,Dairy,Million dollars,4.2981
Alabama,2015,Dairy,Million dollars,2.8499
Alaska,2015,Dairy,Million dollars,0.0997
Arizona,2015,Dairy,Million dollars,110.4168
Arkansas,2015,Dairy,Million dollars,2.3543
California,2015,Dairy,Million dollars,919.7326
Colorado,2015,Dairy,Million dollars,97.1628
